U,d,h,j,Isp,nu_t,T,m_a
3.040000000000000000e+02,3.981720673391388488e+01,9.331147893926678094e+00,2.019096631880662462e-01,1.574721485849158398e+03,1.825053508370213795e-01,1.653982374138670863e+01,1.070676120459283176e+00
3.050000000000000000e+02,3.988264179323288516e+01,9.343896238645996277e+00,2.010287202584935540e-01,1.577309361852767552e+03,1.836571834898431399e-01,1.661690232681253931e+01,1.073900831709478476e+00
3.060000000000000000e+02,3.994796966960169016e+01,9.356623701513731461e+00,2.001543352803190068e-01,1.579892998902707177e+03,1.848125490406195282e-01,1.669409231889794043e+01,1.077125056862090258e+00
3.070000000000000000e+02,4.001319088799974821e+01,9.369330384808675305e+00,1.992864390791722062e-01,1.582472417761268161e+03,1.859714470815076737e-01,1.677139353545639366e+01,1.080348798298010671e+00
3.080000000000000000e+02,4.007830596913491661e+01,9.382016389977412274e+00,1.984249634253514860e-01,1.585047639021805708e+03,1.871338772066599709e-01,1.684880579519232668e+01,1.083572058378761804e+00
3.090000000000000000e+02,4.014331542949193476e+01,9.394681817643762756e+00,1.975698410179912712e-01,1.587618683110652910e+03,1.882998390122062882e-01,1.692632891769380876e+01,1.086794839446712846e+00
3.100000000000000000e+02,4.020821978138020825e+01,9.407326767618085839e+00,1.967210054695436861e-01,1.590185570289017733e+03,1.894693320962391458e-01,1.700396272342540271e+01,1.090017143825295909e+00
3.110000000000000000e+02,4.027301953298093906e+01,9.419951338906470184e+00,1.958783912905663893e-01,1.592748320654839972e+03,1.906423560587970911e-01,1.708170703372110921e+01,1.093238973819221416e+00
3.120000000000000000e+02,4.033771518839353121e+01,9.432555629719765022e+00,1.950419338748115294e-01,1.595306954144630481e+03,1.918189105018495155e-01,1.715956167077735017e+01,1.096460331714688152e+00
3.130000000000000000e+02,4.040230724768133541e+01,9.445139737482504572e+00,1.942115694846073271e-01,1.597861490535278335e+03,1.929989950292805845e-01,1.723752645764606228e+01,1.099681219779589991e+00
3.140000000000000000e+02,4.046679620691676860e+01,9.457703758841688568e+00,1.933872352365266778e-01,1.600411949445837536e+03,1.941826092468746656e-01,1.731560121822786158e+01,1.102901640263721283e+00
3.150000000000000000e+02,4.053118255822574412e+01,9.470247789675442007e+00,1.925688690873360032e-01,1.602958350339281424e+03,1.953697527623007024e-01,1.739378577726528263e+01,1.106121595398978474e+00
3.160000000000000000e+02,4.059546678983150514e+01,9.482771925101552313e+00,1.917564098202172718e-01,1.605500712524237315e+03,1.965604251850973094e-01,1.747207996033607813e+01,1.109341087399558390e+00
3.170000000000000000e+02,4.065964938609778301e+01,9.495276259485883941e+00,1.909497970312587223e-01,1.608039055156696122e+03,1.977546261266583671e-01,1.755048359384662149e+01,1.112560118462153413e+00
3.180000000000000000e+02,4.072373082757142981e+01,9.507760886450677518e+00,1.901489711162059337e-01,1.610573397241691737e+03,1.989523552002174234e-01,1.762899650502534854e+01,1.115778690766146886e+00
3.190000000000000000e+02,4.078771159102433330e+01,9.520225898882719306e+00,1.893538732574701899e-01,1.613103757634966314e+03,2.001536120208343705e-01,1.770761852191631291e+01,1.118996806473800731e+00
3.200000000000000000e+02,4.085159214949486994e+01,9.532671388941418300e+00,1.885644454113851731e-01,1.615630155044604862e+03,2.013583962053806797e-01,1.778634947337279115e+01,1.122214467730445975e+00
3.210000000000000000e+02,4.091537297232863324e+01,9.545097448066735879e+00,1.877806302957104045e-01,1.618152608032647095e+03,2.025667073725244405e-01,1.786518918905089137e+01,1.125431676664664149e+00
3.220000000000000000e+02,4.097905452521873571e+01,9.557504166987044414e+00,1.870023713773712737e-01,1.620671135016682683e+03,2.037785451427178984e-01,1.794413749940339642e+01,1.128648435388473592e+00
3.230000000000000000e+02,4.104263727024543584e+01,9.569891635726841983e+00,1.862296128604349899e-01,1.623185754271416272e+03,2.049939091381821621e-01,1.802319423567349688e+01,1.131864745997506860e+00
3.240000000000000000e+02,4.110612166591527483e+01,9.582259943614380049e+00,1.854622996743139629e-01,1.625696483930217710e+03,2.062127989828944630e-01,1.810235922988870172e+01,1.135080610571188808e+00
3.250000000000000000e+02,4.116950816719965189e+01,9.594609179289177447e+00,1.847003774621933381e-01,1.628203341986643409e+03,2.074352143025738338e-01,1.818163231485477382e+01,1.138296031172912448e+00
3.260000000000000000e+02,4.123279722557285254e+01,9.606939430709433125e+00,1.839437925696771059e-01,1.630706346295948151e+03,2.086611547246688125e-01,1.826101332414974721e+01,1.141511009850209923e+00
3.270000000000000000e+02,4.129598928904958655e+01,9.619250785159334072e+00,1.831924920336483464e-01,1.633205514576559835e+03,2.098906198783426769e-01,1.834050209211798332e+01,1.144725548634923928e+00
3.280000000000000000e+02,4.135908480222195749e+01,9.631543329256258446e+00,1.824464235713386395e-01,1.635700864411549219e+03,2.111236093944613146e-01,1.842009845386430555e+01,1.147939649543374019e+00
3.290000000000000000e+02,4.142208420629600596e+01,9.643817148957898766e+00,1.817055355696019225e-01,1.638192413250071695e+03,2.123601229055804562e-01,1.849980224524824379e+01,1.151153314576524700e+00
3.300000000000000000e+02,4.148498793912764881e+01,9.656072329569264312e+00,1.809697770743895484e-01,1.640680178408789970e+03,2.136001600459319083e-01,1.857961330287823287e+01,1.154366545720145742e+00
3.310000000000000000e+02,4.154779643525822763e+01,9.668308955749598255e+00,1.802390977804204653e-01,1.643164177073278552e+03,2.148437204514115628e-01,1.865953146410597441e+01,1.157579344944974942e+00
3.320000000000000000e+02,4.161051012594949583e+01,9.680527111519204198e+00,1.795134480210437977e-01,1.645644426299408224e+03,2.160908037595662412e-01,1.873955656702079153e+01,1.160791714206876435e+00
3.330000000000000000e+02,4.167312943921820789e+01,9.692726880266180345e+00,1.787927787582883066e-01,1.648120943014715067e+03,2.173414096095821757e-01,1.881968845044411509e+01,1.164003655446997687e+00
3.340000000000000000e+02,4.173565479987016147e+01,9.704908344753054195e+00,1.780770415730967282e-01,1.650593744019744463e+03,2.185955376422717700e-01,1.889992695392394140e+01,1.167215170591924478e+00
3.350000000000000000e+02,4.179808662953382736e+01,9.717071587123326637e+00,1.773661886557390266e-01,1.653062845989383277e+03,2.198531875000613034e-01,1.898027191772937528e+01,1.170426261553831004e+00
3.360000000000000000e+02,4.186042534669355319e+01,9.729216688907952104e+00,1.766601727964012269e-01,1.655528265474173622e+03,2.211143588269806337e-01,1.906072318284532585e+01,1.173636930230633535e+00
3.370000000000000000e+02,4.192267136672225547e+01,9.741343731031699704e+00,1.759589473759474443e-01,1.657990018901600706e+03,2.223790512686486254e-01,1.914128059096708157e+01,1.176847178506137404e+00
3.380000000000000000e+02,4.198482510191370665e+01,9.753452793819448630e+00,1.752624663568499441e-01,1.660448122577376807e+03,2.236472644722634073e-01,1.922194398449509123e+01,1.180057008250182449e+00
3.390000000000000000e+02,4.204688696151443850e+01,9.765543957002400077e+00,1.745706842742837384e-01,1.662902592686697062e+03,2.249189980865896055e-01,1.930271320652973088e+01,1.183266421318789785e+00
3.400000000000000000e+02,4.210885735175513389e+01,9.777617299724191469e+00,1.738835562273839952e-01,1.665353445295485471e+03,2.261942517619474347e-01,1.938358810086613104e+01,1.186475419554301691e+00
3.410000000000000000e+02,4.217073667588167751e+01,9.789672900546953827e+00,1.732010378706598797e-01,1.667800696351619990e+03,2.274730251502007916e-01,1.946456851198908566e+01,1.189684004785524829e+00
3.420000000000000000e+02,4.223252533418575894e+01,9.801710837457264347e+00,1.725230854055648799e-01,1.670244361686143293e+03,2.287553179047460694e-01,1.954565428506796110e+01,1.192892178827867466e+00
3.430000000000000000e+02,4.229422372403507779e+01,9.813731187872040351e+00,1.718496555722175134e-01,1.672684457014459895e+03,2.300411296805012773e-01,1.962684526595173296e+01,1.196099943483477146e+00
3.440000000000000000e+02,4.235583223990317236e+01,9.825734028644340867e+00,1.711807056412714134e-01,1.675120997937510765e+03,2.313304601338938837e-01,1.970814130116394836e+01,1.199307300541375021e+00
3.450000000000000000e+02,4.241735127339884315e+01,9.837719436069109591e+00,1.705161934059298556e-01,1.677553999942942937e+03,2.326233089228516571e-01,1.978954223789794398e+01,1.202514251777591747e+00
3.460000000000000000e+02,4.247878121329518564e+01,9.849687485888821925e+00,1.698560771741036979e-01,1.679983478406252289e+03,2.339196757067897037e-01,1.987104792401185449e+01,1.205720798955295603e+00
3.470000000000000000e+02,4.254012244555826072e+01,9.861638253299073398e+00,1.692003157607080699e-01,1.682409448591922001e+03,2.352195601466014474e-01,1.995265820802390877e+01,1.208926943824925493e+00
3.480000000000000000e+02,4.260137535337538139e+01,9.873571812954097027e+00,1.685488684800955927e-01,1.684831925654538509e+03,2.365229619046470555e-01,2.003437293910761952e+01,1.212132688124317736e+00
3.490000000000000000e+02,4.266254031718304418e+01,9.885488238972195418e+00,1.679016951386241296e-01,1.687250924639896311e+03,2.378298806447428082e-01,2.011619196708707236e+01,1.215338033578833077e+00
3.500000000000000000e+02,4.272361771469451242e+01,9.897387604941119577e+00,1.672587560273545992e-01,1.689666460486089363e+03,2.391403160321512733e-01,2.019811514243229311e+01,1.218542981901482136e+00
3.510000000000000000e+02,4.278460792092698739e+01,9.909269983923362446e+00,1.666200119148781023e-01,1.692078548024587008e+03,2.404542677335705370e-01,2.028014231625459018e+01,1.221747534793047540e+00
3.520000000000000000e+02,4.284551130822851661e+01,9.921135448461400941e+00,1.659854240402679759e-01,1.694487201981295129e+03,2.417717354171239341e-01,2.036227334030202130e+01,1.224951693942207598e+00
3.530000000000000000e+02,4.290632824630449704e+01,9.932984070582858038e+00,1.653549541061557215e-01,1.696892436977607531e+03,2.430927187523503064e-01,2.044450806695484602e+01,1.228155461025655093e+00
3.540000000000000000e+02,4.296705910224385860e+01,9.944815921805608028e+00,1.647285642719272802e-01,1.699294267531437981e+03,2.444172174101934270e-01,2.052684634922104578e+01,1.231358837708216969e+00
3.550000000000000000e+02,4.302770424054491372e+01,9.956631073142807153e+00,1.641062171470379916e-01,1.701692708058247490e+03,2.457452310629930081e-01,2.060928804073191500e+01,1.234561825642971344e+00
3.560000000000000000e+02,4.308826402314087289e+01,9.968429595107867414e+00,1.634878757844430708e-01,1.704087772872047935e+03,2.470767593844732657e-01,2.069183299573760237e+01,1.237764426471361867e+00
3.570000000000000000e+02,4.314873880942507611e+01,9.980211557719373516e+00,1.628735036741417730e-01,1.706479476186403417e+03,2.484118020497349255e-01,2.077448106910284409e+01,1.240966641823314509e+00
3.580000000000000000e+02,4.320912895627584049e+01,9.991977030505921675e+00,1.622630647368331624e-01,1.708867832115411602e+03,2.497503587352443710e-01,2.085723211630260820e+01,1.244168473317349033e+00
3.590000000000000000e+02,4.326943481808105219e+01,1.000372608251090867e+01,1.616565233176809613e-01,1.711252854674676655e+03,2.510924291188245117e-01,2.094008599341781718e+01,1.247369922560689570e+00
3.600000000000000000e+02,4.332965674676242429e+01,1.001545878229726760e+01,1.610538441801846743e-01,1.713634557782269439e+03,2.524380128796458456e-01,2.102304255713119119e+01,1.250570991149376976e+00
3.610000000000000000e+02,4.338979509179945637e+01,1.002717519795212020e+01,1.604549925001567123e-01,1.716012955259673845e+03,2.537871096982161068e-01,2.110610166472298488e+01,1.253771680668374966e+00
3.620000000000000000e+02,4.344985020025309552e+01,1.003887539709140242e+01,1.598599338598010455e-01,1.718388060832722203e+03,2.551397192563715222e-01,2.118926317406690174e+01,1.256971992691679363e+00
3.630000000000000000e+02,4.350982241678909901e+01,1.005055944686440483e+01,1.592686342418936918e-01,1.720759888132521382e+03,2.564958412372677632e-01,2.127252694362597296e+01,1.260171928782422679e+00
3.640000000000000000e+02,4.356971208370114113e+01,1.006222741395827924e+01,1.586810600240609603e-01,1.723128450696364553e+03,2.578554753253708420e-01,2.135589283244851089e+01,1.263371490492980476e+00
3.650000000000000000e+02,4.362951954093355056e+01,1.007387936460247069e+01,1.580971779731553950e-01,1.725493761968630452e+03,2.592186212064472861e-01,2.143936070016403761e+01,1.266570679365072394e+00
3.660000000000000000e+02,4.368924512610388433e+01,1.008551536457310505e+01,1.575169552397260031e-01,1.727855835301679008e+03,2.605852785675566996e-01,2.152293040697938409e+01,1.269769496929866293e+00
3.670000000000000000e+02,4.374888917452512516e+01,1.009713547919733045e+01,1.569403593525816043e-01,1.730214683956724230e+03,2.619554470970415494e-01,2.160660181367467203e+01,1.272967944708078836e+00
3.680000000000000000e+02,4.380845201922765142e+01,1.010873977335757878e+01,1.563673582134461892e-01,1.732570321104708000e+03,2.633291264845190605e-01,2.169037478159942012e+01,1.276166024210072969e+00
3.690000000000000000e+02,4.386793399098093715e+01,1.012032831149580936e+01,1.557979200917025409e-01,1.734922759827155915e+03,2.647063164208727226e-01,2.177424917266871773e+01,1.279363736935959395e+00
3.700000000000000000e+02,4.392733541831498911e+01,1.013190115761767629e+01,1.552320136192245903e-01,1.737272013117025153e+03,2.660870165982434643e-01,2.185822484935934540e+01,1.282561084375692273e+00
3.710000000000000000e+02,4.398665662754149253e+01,1.014345837529665140e+01,1.546696077852955098e-01,1.739618093879540311e+03,2.674712267100206042e-01,2.194230167470596626e+01,1.285758068009164479e+00
3.720000000000000000e+02,4.404589794277475789e+01,1.015500002767810095e+01,1.541106719316102658e-01,1.741961014933023534e+03,2.688589464508345239e-01,2.202647951229741352e+01,1.288954689306303525e+00
3.730000000000000000e+02,4.410505968595234805e+01,1.016652617748331267e+01,1.535551757473605783e-01,1.744300789009709206e+03,2.702501755165476749e-01,2.211075822627293519e+01,1.292150949727165266e+00
3.740000000000000000e+02,4.416414217685552046e+01,1.017803688701346942e+01,1.530030892644018703e-01,1.746637428756552254e+03,2.716449136042463075e-01,2.219513768131849218e+01,1.295346850722025822e+00
3.750000000000000000e+02,4.422314573312937114e+01,1.018953221815358212e+01,1.524543828524989597e-01,1.748970946736023961e+03,2.730431604122321998e-01,2.227961774266312744e+01,1.298542393731474176e+00
3.760000000000000000e+02,4.428207067030275823e+01,1.020101223237636034e+01,1.519090272146509935e-01,1.751301355426903001e+03,2.744449156400148304e-01,2.236419827607530308e+01,1.301737580186500098e+00
3.770000000000000000e+02,4.434091730180801960e+01,1.021247699074606707e+01,1.513669933824914327e-01,1.753628667225052141e+03,2.758501789883038846e-01,2.244887914785938676e+01,1.304932411508587409e+00
3.780000000000000000e+02,4.439968593900037064e+01,1.022392655392228811e+01,1.508282527117652261e-01,1.755952894444186768e+03,2.772589501589995953e-01,2.253366022485199238e+01,1.308126889109797686e+00
3.790000000000000000e+02,4.445837689117718128e+01,1.023536098216369084e+01,1.502927768778779261e-01,1.758274049316636592e+03,2.786712288551867478e-01,2.261854137441855883e+01,1.311321014392861306e+00
3.800000000000000000e+02,4.451699046559691197e+01,1.024678033533171195e+01,1.497605378715185509e-01,1.760592143994095522e+03,2.800870147811252431e-01,2.270352246444975108e+01,1.314514788751259822e+00
3.810000000000000000e+02,4.457552696749794308e+01,1.025818467289423097e+01,1.492315079943523914e-01,1.762907190548364952e+03,2.815063076422441024e-01,2.278860336335814551e+01,1.317708213569316111e+00
3.820000000000000000e+02,4.463398670011704894e+01,1.026957405392916556e+01,1.487056598547845943e-01,1.765219200972087947e+03,2.829291071451324191e-01,2.287378394007465943e+01,1.320901290222272539e+00
3.830000000000000000e+02,4.469236996470779388e+01,1.028094853712804913e+01,1.481829663637911909e-01,1.767528187179468659e+03,2.843554129975315869e-01,2.295906406404522571e+01,1.324094020076378886e+00
3.840000000000000000e+02,4.475067706055859418e+01,1.029230818079956578e+01,1.476634007308177676e-01,1.769834161006997647e+03,2.857852249083293605e-01,2.304444360522744972e+01,1.327286404488972282e+00
3.850000000000000000e+02,4.480890828501063083e+01,1.030365304287302308e+01,1.471469364597441098e-01,1.772137134214152411e+03,2.872185425875508624e-01,2.312992243408722004e+01,1.330478444808557814e+00
3.860000000000000000e+02,4.486706393347556343e+01,1.031498318090181421e+01,1.466335473449128235e-01,1.774437118484099074e+03,2.886553657463515887e-01,2.321550042159544347e+01,1.333670142374890899e+00
3.870000000000000000e+02,4.492514429945298815e+01,1.032629865206681608e+01,1.461232074672220438e-01,1.776734125424386093e+03,2.900956940970108033e-01,2.330117743922476947e+01,1.336861498519055225e+00
3.880000000000000000e+02,4.498314967454772528e+01,1.033759951317975734e+01,1.456158911902804554e-01,1.779028166567623884e+03,2.915395273529229336e-01,2.338695335894632521e+01,1.340052514563540909e+00
3.890000000000000000e+02,4.504108034848690068e+01,1.034888582068654372e+01,1.451115731566229028e-01,1.781319253372165122e+03,2.929868652285919084e-01,2.347282805322653232e+01,1.343243191822321991e+00
3.900000000000000000e+02,4.509893660913683533e+01,1.036015763067055317e+01,1.446102282839863973e-01,1.783607397222766394e+03,2.944377074396225535e-01,2.355880139502388104e+01,1.346433531600934375e+00
3.910000000000000000e+02,4.515671874251972184e+01,1.037141499885587947e+01,1.441118317616451594e-01,1.785892609431254868e+03,2.958920537027146525e-01,2.364487325778581450e+01,1.349623535196548652e+00
3.920000000000000000e+02,4.521442703283014453e+01,1.038265798061055634e+01,1.436163590468029216e-01,1.788174901237174936e+03,2.973499037356553409e-01,2.373104351544557744e+01,1.352813203898048933e+00
3.930000000000000000e+02,4.527206176245136504e+01,1.039388663094972820e+01,1.431237858610426850e-01,1.790454283808437367e+03,2.988112572573125569e-01,2.381731204241914313e+01,1.356002538986103678e+00
3.940000000000000000e+02,4.532962321197144462e+01,1.040510100453878906e+01,1.426340881868317645e-01,1.792730768241954593e+03,3.002761139876276575e-01,2.390367871360208341e+01,1.359191541733239195e+00
